company_id,has_tracker,tracker_count,policy_disclosed,under_disclosure,over_disclosure,mismatch_label,industry,founding_year,employee_range,policy_length
MAN_0000,True,7,False,True,False,under_disclosure,fintech,2013,1001-5000,0
MAN_0003,True,25,False,True,False,under_disclosure,fintech,2014,11-50,311
MAN_0004,True,19,False,True,False,under_disclosure,fintech,2015,11-50,17267
MAN_0012,True,10,False,True,False,under_disclosure,fintech,2017,51-200,0
MAN_0014,True,2,False,True,False,under_disclosure,fintech,2019,51-200,27095
MAN_0016,True,11,False,True,False,under_disclosure,fintech,2019,11-50,50857
MAN_0021,True,31,True,False,False,none,ecommerce,2014,201-500,13620
MAN_0022,True,21,False,True,False,under_disclosure,ecommerce,2015,201-500,18965
MAN_0023,True,3,False,True,False,under_disclosure,ecommerce,2014,501-1000,6520
MAN_0024,True,11,False,True,False,under_disclosure,ecommerce,2015,1001-5000,8313
MAN_0025,True,6,False,True,False,under_disclosure,ecommerce,2011,51-200,18726
MAN_0028,True,19,True,False,False,none,edtech,2018,201-500,23009
MAN_0030,True,2,False,True,False,under_disclosure,edtech,2012,51-200,21865
MAN_0031,True,32,False,True,False,under_disclosure,edtech,2018,11-50,18679
MAN_0032,True,28,False,True,False,under_disclosure,edtech,2016,11-50,10721
MAN_0033,True,12,False,True,False,under_disclosure,edtech,2016,11-50,23734
MAN_0035,True,18,True,False,False,none,edtech,2018,51-200,9803
MAN_0036,True,13,False,True,False,under_disclosure,edtech,2016,51-200,25342
MAN_0038,True,7,False,True,False,under_disclosure,edtech,2010,201-500,45480
MAN_0040,True,37,False,True,False,under_disclosure,edtech,2014,201-500,9385
MAN_0041,True,12,True,False,False,none,edtech,2015,51-200,9474
MAN_0042,True,5,False,True,False,under_disclosure,edtech,2009,51-200,5711
MAN_0043,True,25,False,True,False,under_disclosure,edtech,2020,11-50,15744
MAN_0045,True,7,True,False,False,none,healthtech,2020,51-200,10782
MAN_0048,True,6,True,False,False,none,healthtech,2013,201-500,9923
MAN_0049,True,9,False,True,False,under_disclosure,healthtech,2014,51-200,11406
MAN_0050,True,8,False,True,False,under_disclosure,healthtech,2017,51-200,4313
MAN_0052,True,6,False,True,False,under_disclosure,healthtech,1996,201-500,497
MAN_0054,True,17,False,True,False,under_disclosure,saas,2014,201-500,0
MAN_0056,True,12,True,False,False,none,saas,2012,201-500,5352
MAN_0058,True,16,True,False,False,none,saas,2019,51-200,15354
